objective_number,objective_title,objective_repo,issue_number,issue_title,issue_repo,depth,pr_number,pr_title,pr_repo,pr_state,pr_url
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,0,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,64,BIOMASS workflow with Gamma0 LUT,NASA-IMPACT/science-support,1,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,39,Black Marble DPS algorithm creation,NASA-IMPACT/science-support,1,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,71,HLS s3credential access issues,NASA-IMPACT/science-support,1,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,55,Access to EUMETSAT data (FALCON),NASA-IMPACT/science-support,1,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,60,las to COPC conversion in R as a DPS job,NASA-IMPACT/science-support,1,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,42,Cost-estimate black marble run,NASA-IMPACT/science-support,1,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,563,Document best practices for writing/syncing to buckets from R and Python,MAAP-Project/maap-documentation,1,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,579,Get Team Bucket credentials in R.,MAAP-Project/maap-documentation,2,,,,,
62,[Sc] PI 26.4 Objective 2: Cloud Native Workflows,NASA-IMPACT/science-support,76,Disasters Hub/DPS Docs Scoping,NASA-IMPACT/science-support,1,,,,,
63,[Sc] PI 26.4 Objective 5: Data Retention Policy,NASA-IMPACT/science-support,63,[Sc] PI 26.4 Objective 5: Data Retention Policy,NASA-IMPACT/science-support,0,,,,,
63,[Sc] PI 26.4 Objective 5: Data Retention Policy,NASA-IMPACT/science-support,61,Add Monitoring + Roles to Retention Policy,NASA-IMPACT/science-support,1,,,,,
63,[Sc] PI 26.4 Objective 5: Data Retention Policy,NASA-IMPACT/science-support,72,Present Retention Policy to the UWG,NASA-IMPACT/science-support,1,,,,,
63,[Sc] PI 26.4 Objective 5: Data Retention Policy,NASA-IMPACT/science-support,73,Add Data Retention Policy to MAAP Docs,NASA-IMPACT/science-support,1,,,,,
63,[Sc] PI 26.4 Objective 5: Data Retention Policy,NASA-IMPACT/science-support,74,Present Data Retention Policy at UWG Workshop,NASA-IMPACT/science-support,1,,,,,
66,[Sc] PI 26.4 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,66,[Sc] PI 26.4 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,0,,,,,
66,[Sc] PI 26.4 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,69,Investigate whether HLS containers can be used in MAAP Hub,NASA-IMPACT/science-support,1,,,,,
66,[Sc] PI 26.4 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,70,Publish details of GPU drivers,NASA-IMPACT/science-support,1,,,,,
66,[Sc] PI 26.4 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,75,Disasters Base Image,NASA-IMPACT/science-support,1,,,,,
67,[Sc] PI 26.4 Objective 3: Deploy DPS to Hubs,NASA-IMPACT/science-support,67,[Sc] PI 26.4 Objective 3: Deploy DPS to Hubs,NASA-IMPACT/science-support,0,,,,,
68,[Sc] PI 26.4 Objective 4: Open-Source Contributions,NASA-IMPACT/science-support,68,[Sc] PI 26.4 Objective 4: Open-Source Contributions,NASA-IMPACT/science-support,0,,,,,
122,[AQ] PI 26.4 Objective 1: AIR4US portal frontend design support,Air-Quality-Portal/aq-arch,122,[AQ] PI 26.4 Objective 1: AIR4US portal frontend design support,Air-Quality-Portal/aq-arch,0,,,,,
122,[AQ] PI 26.4 Objective 1: AIR4US portal frontend design support,Air-Quality-Portal/aq-arch,91,Alignment on Dataset Landing Page Template,Air-Quality-Portal/aq-arch,1,,,,,
122,[AQ] PI 26.4 Objective 1: AIR4US portal frontend design support,Air-Quality-Portal/aq-arch,118,Review Disasters Plugin Tool Design and Document Modifications Needed for AIR4US,Air-Quality-Portal/aq-arch,1,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,0,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,132,[EPIC] Air4US components (theming + development),Air-Quality-Portal/aq-arch,1,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,135,Design alignment on Air4US,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,102,Add MastHead component to theme,Air-Quality-Portal/aq-arch,2,313,feat: AIR 4 US Custom mast head,NASA-IMPACT/tinacms-portal-monorepo,CLOSED,https://github.com/NASA-IMPACT/tinacms-portal-monorepo/pull/313
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,102,Add MastHead component to theme,Air-Quality-Portal/aq-arch,2,366,feat: air4us masthead updates [aq102],NASA-IMPACT/tinacms-portal-monorepo,MERGED,https://github.com/NASA-IMPACT/tinacms-portal-monorepo/pull/366
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,108,Gradient border for CardDetailed,Air-Quality-Portal/aq-arch,2,330,Feat: Add Gradient util class,NASA-IMPACT/tinacms-portal-monorepo,CLOSED,https://github.com/NASA-IMPACT/tinacms-portal-monorepo/pull/330
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,111,Theme for in page navigation component,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,109,Theme Search functionality,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,134,Theme for CardCTA?,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,136,Theme for pagination,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,137,Homepage Visualization Tool Component,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,141,Create pagination component,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,133,[EPIC] Air4US pages (no content),Air-Quality-Portal/aq-arch,1,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,10,Single Dataset page,Air-Quality-Portal/aq-portal,2,16,Add single dataset page,Air-Quality-Portal/aq-portal,OPEN,https://github.com/Air-Quality-Portal/aq-portal/pull/16
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,15,About us page,Air-Quality-Portal/aq-portal,2,30,Add content in About Us page,Air-Quality-Portal/aq-portal,OPEN,https://github.com/Air-Quality-Portal/aq-portal/pull/30
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,14,Dataset gallery page,Air-Quality-Portal/aq-portal,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,138,Tool catalog page,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,139,Home page,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,140,Training & Resources page,Air-Quality-Portal/aq-arch,2,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,24,[EPIC] Add Air4US content to pages,Air-Quality-Portal/aq-portal,1,,,,,
123,[AQ] PI 26.4 Objective 2: Complete setup of AIR4US frontend,Air-Quality-Portal/aq-arch,25,Add Home page content,Air-Quality-Portal/aq-portal,2,,,,,
